Bearing:  353.565260849
77 -407 70.84 -374.44
108 -384 99.36 -353.28
130 -368 119.6 -338.56
162 -343 149.04 -315.56
177 -327 162.84 -300.84
199 -288 183.08 -264.96
207 -273 190.44 -251.16
219 -237 201.48 -218.04
224 -213 206.08 -195.96
225 -172 207.0 -158.24
223 -152 205.16 -139.84
210 -109 193.2 -100.28
196 -79 180.32 -72.68
180 -53 165.6 -48.76
156 -23 143.52 -21.16
146 -16 134.32 -14.72
128 0 117.76 0.0
97 23 89.24 21.16
44 47 40.48 43.24
39 49 35.88 45.08
61 40 56.12 36.8
85 24 78.2 22.08
99 12 91.08 11.04
99 10 91.08 9.2
104 11 95.68 10.12
94 20 86.48 18.4
72 35 66.24 32.2
68 40 62.56 36.8
61 48 56.12 44.16
60 51 55.2 46.92
58 51 53.36 46.92
49 53 45.08 48.76
35 55 32.2 50.6
22 57 20.24 52.44
13 57 11.96 52.44
-12 57 -11.04 52.44
-16 58 -14.72 53.36
-19 57 -17.48 52.44
-19 56 -17.48 51.52
-21 56 -19.32 51.52
-25 55 -23.0 50.6
-24 55 -22.08 50.6
-25 55 -23.0 50.6
-24 54 -22.08 49.68
-24 55 -22.08 50.6
-25 55 -23.0 50.6
-25 54 -23.0 49.68
-24 54 -22.08 49.68
-25 55 -23.0 50.6
-25 54 -23.0 49.68
-24 55 -22.08 50.6
-24 55 -22.08 50.6
-23 55 -21.16 50.6
-25 54 -23.0 49.68
-25 55 -23.0 50.6
-25 55 -23.0 50.6
-24 54 -22.08 49.68
-25 54 -23.0 49.68
-24 54 -22.08 49.68
-24 54 -22.08 49.68
-25 54 -23.0 49.68
-25 55 -23.0 50.6
-25 54 -23.0 49.68
-24 54 -22.08 49.68
-25 56 -23.0 51.52
-25 56 -23.0 51.52
-25 55 -23.0 50.6
-25 55 -23.0 50.6
-26 55 -23.92 50.6
-25 55 -23.0 50.6
-24 55 -22.08 50.6
-25 55 -23.0 50.6
-25 54 -23.0 49.68
-25 55 -23.0 50.6
-25 55 -23.0 50.6
-25 54 -23.0 49.68
-25 56 -23.0 51.52
-24 54 -22.08 49.68
-25 54 -23.0 49.68
-24 54 -22.08 49.68
-24 54 -22.08 49.68
-24 54 -22.08 49.68
-25 53 -23.0 48.76
-24 54 -22.08 49.68
-24 55 -22.08 50.6
-24 54 -22.08 49.68
-25 54 -23.0 49.68
-24 54 -22.08 49.68
-26 54 -23.92 49.68
-25 54 -23.0 49.68
-25 55 -23.0 50.6
-25 54 -23.0 49.68
-24 55 -22.08 50.6
-25 54 -23.0 49.68
-25 55 -23.0 50.6
-24 54 -22.08 49.68
-25 55 -23.0 50.6
-25 54 -23.0 49.68
-25 55 -23.0 50.6
-23 55 -21.16 50.6
-26 54 -23.92 49.68
-24 53 -22.08 48.76
-25 55 -23.0 50.6
-25 55 -23.0 50.6
-25 54 -23.0 49.68
-25 55 -23.0 50.6
-25 54 -23.0 49.68
-24 55 -22.08 50.6
-24 54 -22.08 49.68
-25 55 -23.0 50.6
-24 54 -22.08 49.68
-23 54 -21.16 49.68
-24 54 -22.08 49.68
-25 54 -23.0 49.68
-24 55 -22.08 50.6
-24 54 -22.08 49.68
-24 54 -22.08 49.68
-24 55 -22.08 50.6
-25 54 -23.0 49.68
-25 54 -23.0 49.68
-26 55 -23.92 50.6
-25 55 -23.0 50.6
-25 55 -23.0 50.6
-25 54 -23.0 49.68
-24 53 -22.08 48.76
-25 54 -23.0 49.68
-25 55 -23.0 50.6
-25 53 -23.0 48.76
-25 55 -23.0 50.6
-24 54 -22.08 49.68
-24 54 -22.08 49.68
-25 54 -23.0 49.68
-24 55 -22.08 50.6
-25 54 -23.0 49.68
-25 54 -23.0 49.68
-25 55 -23.0 50.6
-25 54 -23.0 49.68
-26 54 -23.92 49.68
